"participant"	"item"	"context"	"rpitch"	"rintensity"	"rduration"	"prominence"	"trial"	"text"
"32"	"1180"	"1"	"NoAlternative"	169.585427386662	-2.47300000000001	-0.76460614454209	"Noun"	23	"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
"33"	"207"	"1"	"NoAlternative"	NA	8.556	0	"Adjective"	27	"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
"34"	"264"	"1"	"NoAlternative"	NA	3.19200000000001	-0.53062825106217	"Adjective"	11	"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
"35"	"741"	"1"	"NoAlternative"	145.376115747268	1.733	-0.485507815781701	"Noun"	24	"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
"36"	"820"	"1"	"NoAlternative"	-444.896945219412	11.408	-0.350202429433115	"Adjective"	20	"My friend Mary knows everything about French wine, and has pretty high standards when it comes to food and drink. So guess what she brought for last night's dinner: A good wine. "
"37"	"1004"	"1"	"Alternative"	-135.99072373276	2.373	-0.93826963859293	"Adjective"	36	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"38"	"1050"	"1"	"Alternative"	254.057721407772	7.88	-0.127833371509885	"Adjective"	15	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"39"	"1169"	"1"	"Alternative"	-212.772349021372	6.06800000000001	-0.217723483844871	"Adjective"	3	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"40"	"1170"	"1"	"Alternative"	284.762067437487	3.678	-0.955511445027436	"Adjective"	12	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"41"	"1171"	"1"	"Alternative"	409.721677531025	1.523	0.0666913744986724	"Noun"	10	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"42"	"1172"	"1"	"Alternative"	-511.094163960036	-7.491	-0.806475865866949	"Noun"	19	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"43"	"1173"	"1"	"Alternative"	-83.4640038533731	1.598	-0.793230639116928	"Noun"	25	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"44"	"1174"	"1"	"Alternative"	98.1804997541419	2.53500000000001	-0.75377180237638	"Adjective"	12	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"45"	"1175"	"1"	"Alternative"	445.988799087396	2.654	-0.693147180559945	"Adjective"	35	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"46"	"1176"	"1"	"Alternative"	133.004080374362	6.14	-0.268263986594679	"Noun"	17	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"47"	"1177"	"1"	"Alternative"	69.5355692327543	3.265	-0.92494879461727	"Adjective"	12	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
